statusId|sensorName|[value-x,value-y,value-z]|timestamp
218|Samsung Linear Acceleration Sensor|[-0.0027823746,0.0024814308,-0.06312561]|1566265861628
218|K6DS3TR Gyroscope|[0.005619958,-4.6426058E-4,0.0029199359]|1566265861636
218|K6DS3TR Accelerometer|[0.49200845,-0.40222588,9.787497]|1566265861638
218|Samsung Linear Acceleration Sensor|[3.9577484E-5,-5.0276518E-5,0.001455307]|1566265861638
218|K6DS3TR Gyroscope|[0.011728611,-0.018179353,-0.0056321775]|1566265861647
218|K6DS3TR Accelerometer|[0.38067806,-0.22505496,9.861717]|1566265861649
218|Samsung Linear Acceleration Sensor|[0.0025102496,-0.0014882684,0.06491184]|1566265861649
218|K6DS3TR Gyroscope|[-0.0029321574,0.030079003,4.7647484E-4]|1566265861656
218|K6DS3TR Accelerometer|[0.5722142,-0.21428105,10.05445]|1566265861658
218|Samsung Linear Acceleration Sensor|[0.015120447,-0.0056668073,0.2658596]|1566265861658
218|K6DS3TR Gyroscope|[0.0031764973,0.005644392,-0.009908235]|1566265861666
218|K6DS3TR Accelerometer|[0.40581718,-0.09696517,9.801862]|1566265861669
218|Samsung Linear Acceleration Sensor|[1.4543533E-4,-2.297014E-5,0.004085541]|1566265861669
218|K6DS3TR Gyroscope|[0.0043982267,0.0160291,-0.012351695]|1566265861677
218|K6DS3TR Accelerometer|[0.33039984,-0.2657564,9.933543]|1566265861678
218|Samsung Linear Acceleration Sensor|[0.0045357645,-0.0035945475,0.13581562]|1566265861678
218|K6DS3TR Gyroscope|[0.013561206,-0.0016859919,-0.009908235]|1566265861686
218|K6DS3TR Accelerometer|[0.2825158,-0.24540567,9.822212]|1566265861688
218|Samsung Linear Acceleration Sensor|[7.8320503E-4,-6.1380863E-4,0.022666931]|1566265861688
218|K6DS3TR Gyroscope|[0.0025656316,-0.0077946447,-0.008075639]|1566265861697
218|K6DS3TR Accelerometer|[0.48362875,-0.37229836,9.765948]|1566265861699
218|Samsung Linear Acceleration Sensor|[-0.0010559261,8.146763E-4,-0.021607399]|1566265861699
218|K6DS3TR Gyroscope|[-0.0029321574,0.009309582,0.0035308013]|1566265861706
218|K6DS3TR Accelerometer|[0.33638534,-0.51355624,9.821015]|1566265861708
218|Samsung Linear Acceleration Sensor|[0.0011546612,-0.001742363,0.0334692]|1566265861708
218|K6DS3TR Gyroscope|[0.007452553,0.0032009296,0.0108611835]|1566265861716
218|K6DS3TR Accelerometer|[0.34117374,-0.61770403,10.139444]|1566265861719
218|Samsung Linear Acceleration Sensor|[0.01199469,-0.021707177,0.35645866]|1566265861719
218|K6DS3TR Gyroscope|[0.0013439022,0.008698717,0.01269378]|1566265861727
218|K6DS3TR Accelerometer|[0.3890578,-0.32561144,10.107122]|1566265861728
218|Samsung Linear Acceleration Sensor|[0.012042046,-0.010070533,0.31280327]|1566265861728
218|K6DS3TR Gyroscope|[0.008063419,0.012363911,0.014526376]|1566265861736
218|K6DS3TR Accelerometer|[0.272939,-0.3890578,9.968259]|1566265861738
218|Samsung Linear Acceleration Sensor|[0.0047828555,-0.0067084134,0.17273426]|1566265861739
218|K6DS3TR Gyroscope|[0.014172072,0.009309582,0.012082914]|1566265861747
218|K6DS3TR Accelerometer|[0.25139117,-0.50158525,9.976639]|1566265861749
218|Samsung Linear Acceleration Sensor|[0.0046712756,-0.009334147,0.18545818]|1566265861748
218|K6DS3TR Gyroscope|[0.01295034,0.009920448,0.011472049]|1566265861756
218|K6DS3TR Accelerometer|[0.34596214,-0.37708676,9.885659]|1566265861758
218|Samsung Linear Acceleration Sensor|[0.0032219589,-0.0035164058,0.09212208]|1566265861758
218|K6DS3TR Gyroscope|[0.011728611,0.012974773,0.0078068576]|1566265861767
218|K6DS3TR Accelerometer|[0.25977087,-0.20470424,9.898827]|1566265861769
218|Samsung Linear Acceleration Sensor|[0.0025769472,-0.0020485818,0.097644806]|1566265861769
218|K6DS3TR Gyroscope|[0.0068416875,0.011753045,0.0047525316]|1566265861776
218|K6DS3TR Accelerometer|[0.34117374,-0.38307226,9.977836]|1566265861778
218|Samsung Linear Acceleration Sensor|[0.00630033,-0.007079214,0.18412018]|1566265861778
218|K6DS3TR Gyroscope|[-0.0017104261,0.0050335266,-7.452556E-4]|1566265861786
218|K6DS3TR Accelerometer|[0.30885202,-0.5494693,10.072407]|1566265861789
218|Samsung Linear Acceleration Sensor|[0.008735985,-0.01554209,0.28490257]|1566265861789
218|K6DS3TR Gyroscope|[0.0031764973,0.019083425,-0.0074647735]|1566265861797
218|K6DS3TR Accelerometer|[0.24301147,-0.34117374,10.156203]|1566265861798
218|Samsung Linear Acceleration Sensor|[0.008560538,-0.012013853,0.35788345]|1566265861798
